FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,DEP_TIME,DEP_DELAY,ARR_TIME,ARR_DELAY
1399,10397,ATL,14747,SEA,1907,2,2102,-41
1476,11433,DTW,13487,MSP,1344,-1,1439,4
1597,10397,ATL,14747,SEA,942,2,1142,-33
1768,14747,SEA,13487,MSP,820,1,1345,10
1823,14747,SEA,11433,DTW,2256,-4,615,8
1975,13487,MSP,10397,ATL,1127,-2,1441,-18
2074,10397,ATL,13487,MSP,1745,0,1920,-11
2151,13487,MSP,14747,SEA,1751,11,1908,-21
2221,13487,MSP,14747,SEA,1115,0,1255,-10
2291,13487,MSP,10397,ATL,1443,13,1800,-1
2350,10397,ATL,12478,JFK,828,3,1029,-9
2444,10397,ATL,14747,SEA,1355,10,1605,-16
2610,10397,ATL,13487,MSP,721,-4,903,-1
2826,11433,DTW,14747,SEA,841,6,1023,-24
2845,11433,DTW,10397,ATL,1622,-2,1805,-25
86,13487,MSP,11433,DTW,1337,-8,1616,-4
423,12478,JFK,10397,ATL,1258,-2,1519,-19
1823,11433,DTW,14747,SEA,1724,-4,1905,-24
1972,14747,SEA,12478,JFK,715,0,1519,-11
2005,10397,ATL,11433,DTW,723,-2,920,0
2039,10397,ATL,14747,SEA,847,23,1101,2
902,10397,ATL,11433,DTW,1454,-2,1643,-12
997,13487,MSP,11433,DTW,832,-1,1105,-11
1108,13487,MSP,10397,ATL,1510,2,1818,-17
1231,10397,ATL,11433,DTW,1339,-1,1524,-13
1291,14747,SEA,10397,ATL,750,5,1528,-1
1397,13487,MSP,14747,SEA,1439,-1,1604,-21
1444,11433,DTW,10397,ATL,2021,1,2211,-16
1491,13487,MSP,10397,ATL,608,-2,922,-18
1573,14747,SEA,10397,ATL,4,9,736,4
1646,10397,ATL,14747,SEA,1621,1,1838,-21
1734,13487,MSP,11433,DTW,1151,-1,1425,-8
1587,11433,DTW,10397,ATL,1350,5,1532,-17
1699,11433,DTW,14747,SEA,1236,21,1437,17
1770,14747,SEA,13487,MSP,1521,1,2048,16
991,10397,ATL,11433,DTW,1205,0,1405,1
1104,10397,ATL,13487,MSP,1219,14,1355,10
1770,14747,SEA,13487,MSP,1602,42,2108,36
1842,11433,DTW,10397,ATL,1003,-2,1149,-20
1975,13487,MSP,10397,ATL,1155,26,1506,6
2039,10397,ATL,14747,SEA,831,7,1102,3
2139,12478,JFK,10397,ATL,826,-4,1108,-3
2193,13487,MSP,14747,SEA,650,0,819,-25
2255,13487,MSP,10397,ATL,1319,-1,1636,-13
2318,14747,SEA,13487,MSP,710,0,1220,-3
2418,11433,DTW,10397,ATL,1206,1,1415,4
2515,11433,DTW,12478,JFK,1927,-3,2105,-20
2418,11433,DTW,10397,ATL,1205,0,1423,12
2515,11433,DTW,12478,JFK,1939,9,2138,13
2793,11433,DTW,13487,MSP,1019,13,1102,-3
2829,10397,ATL,11433,DTW,2041,1,2229,-5
8,13487,MSP,10397,ATL,1728,-4,2043,-22
87,11433,DTW,13487,MSP,1535,-5,1631,-18
425,12478,JFK,10397,ATL,1537,36,1749,-1
449,12478,JFK,14747,SEA,658,-2,1000,-20
483,12478,JFK,14747,SEA,1705,40,2023,32
569,10397,ATL,12478,JFK,1741,1,1955,-13
630,11433,DTW,10397,ATL,1741,-5,1925,-29
701,14747,SEA,11433,DTW,2302,2,617,8
783,10397,ATL,13487,MSP,841,1,1022,0
2811,12478,JFK,13487,MSP,803,-2,1012,-12
2829,10397,ATL,11433,DTW,2040,0,2229,-5
53,13487,MSP,11433,DTW,1530,0,1810,5
391,13487,MSP,10397,ATL,1911,1,2227,-13
453,12478,JFK,13487,MSP,1654,29,1909,24
488,12478,JFK,14747,SEA,701,1,946,-34
588,14747,SEA,13487,MSP,1211,51,1721,44
658,13487,MSP,12478,JFK,1020,0,1404,-1
744,13487,MSP,10397,ATL,1000,2,1312,-16
843,10397,ATL,12478,JFK,1024,-1,1223,-17
945,11433,DTW,13487,MSP,722,3,815,-15
1055,11433,DTW,13487,MSP,2004,24,2050,14
1122,13487,MSP,10397,ATL,725,-5,1039,-32
1247,10397,ATL,13487,MSP,1457,2,1639,-1
